,can,score,time
0,Nc1[CH]ncc1-c1ccc(C2=NS(=O)(=O)c3c(O)c(Cl)ccc3N2)s1,-6.8,144.7098605632782
1,c1(C)c2c(C(NC(OC)=O)C(O)=O)c(cccc2)c(NC(=O)N)c1,-5.5,329.0052764415741
2,FC(F)(F)c1cccc(CN2C[C@@H](C)C(=O)C2)c1NC(=O)C(=O)O,-4.9,252.12051343917847
3,OC(Cc1ccc2c(c1)N(C(=O)CO)CC2)C(Cc1ccccc1)=O,-6.3,262.85645055770874
4,CN1c2ccccc2C(=O)Nc2ccccc2S1(=O)=O,-4.6,184.1358938217163
5,C1OCC2CCC(CCNS(=O)(=O)c3c(=O)n(C)ccc3)CC2C1=O,-5.5,209.6123809814453
6,Fc1c2c(ccc(O)c1)c(C(O)=O)Sc1cc(Cl)c(F)cc12,-5.1,254.94603395462036
7,C1CCCC(S(=O)(=O)NC2c3c(cccc3)OC(CC)(C(=O)N)C2)C1,-5.3,226.91955304145813
8,c1(C)cc(N(S(=O)(=O)C)Cc2cc(NC)ccn2)c1Br,-4.7,184.36380052566528
9,c1cc(F)c(NC(=O)C23CCC(=O)N2c2ccccc2NC3=O)cc1Cl,-6.4,265.8596806526184
10,C1CCC2(CN1)c1ccccc1C(C)(C1CC1)C(=O)OC2=O,-5.2,152.75833678245544
11,FC(F)(F)c1ncc(NS(CC(N)=O)C(F)(F)F)c(C(F)(F)F)c1,-5.5,221.6744532585144
12,S1=C(c2cc3cc(Cl)c(F)cc3n2Cc2ccc[nH]2)[nH]1,-5.1,149.0566051006317
13,C1CC2CCC(c3cc(C(F)(F)F)ccc3C2)CC1,-5.7,213.67238664627075
14,c1ccc(CC(NS(=O)(=O)CC2CCCCC2)C(O)=O)cc1Br,-4.5,214.98794794082642
15,C1CN(Cc2ccccc2)c2cscc2CC1=O,-4.3,120.88292288780212
16,O=S1(=O)N(Cc2ccccc2)c2ccccc21,-5.5,121.75798726081848
17,c12c(n(Cc3ccc[nH]c3=O)c1=O)cc(CCC(=O)O)CC(O)CC2Cl,-5.4,309.1252384185791
