,can,score,time
0,Nc1[CH]ncc1-c1ccc(C2=NS(=O)(=O)c3c(O)c(Cl)ccc3N2)s1,-7.4,180.07376623153687
1,c1(C)c2c(C(NC(OC)=O)C(O)=O)c(cccc2)c(NC(=O)N)c1,-6.7,353.46464681625366
2,FC(F)(F)c1cccc(CN2C[C@@H](C)C(=O)C2)c1NC(=O)C(=O)O,-5.6,285.6742916107178
3,OC(Cc1ccc2c(c1)N(C(=O)CO)CC2)C(Cc1ccccc1)=O,-5.7,299.0018174648285
4,CN1c2ccccc2C(=O)Nc2ccccc2S1(=O)=O,-5.7,207.2395203113556
5,C1OCC2CCC(CCNS(=O)(=O)c3c(=O)n(C)ccc3)CC2C1=O,-5.9,241.5477638244629
6,Fc1c2c(ccc(O)c1)c(C(O)=O)Sc1cc(Cl)c(F)cc12,-6.6,197.6523036956787
7,C1CCCC(S(=O)(=O)NC2c3c(cccc3)OC(CC)(C(=O)N)C2)C1,-6.2,259.0611457824707
8,c1(C)cc(N(S(=O)(=O)C)Cc2cc(NC)ccn2)c1Br,-5.9,243.80671548843384
9,c1cc(F)c(NC(=O)C23CCC(=O)N2c2ccccc2NC3=O)cc1Cl,-6.8,297.9079396724701
10,C1CCC2(CN1)c1ccccc1C(C)(C1CC1)C(=O)OC2=O,-6.0,131.35568618774414
11,FC(F)(F)c1ncc(NS(CC(N)=O)C(F)(F)F)c(C(F)(F)F)c1,-6.8,252.29698014259338
12,S1=C(c2cc3cc(Cl)c(F)cc3n2Cc2ccc[nH]2)[nH]1,-5.8,184.45282554626465
13,C1CC2CCC(c3cc(C(F)(F)F)ccc3C2)CC1,-6.5,107.06256818771362
14,c1ccc(CC(NS(=O)(=O)CC2CCCCC2)C(O)=O)cc1Br,-4.9,249.91921663284302
15,C1CN(Cc2ccccc2)c2cscc2CC1=O,-5.2,158.30328583717346
16,O=S1(=O)N(Cc2ccccc2)c2ccccc21,-5.7,154.58126282691956
17,c12c(n(Cc3ccc[nH]c3=O)c1=O)cc(CCC(=O)O)CC(O)CC2Cl,-6.4,341.93459248542786
18,c1cc2c(n(C(=O)NC(C3CC3)C3CC3)s1)S(=O)(=O)C2=O,-4.8,179.71008825302124
19,C1[CH](C)C(N2C[C@@H](Cc3ccc(F)c(F)c3)CC2)C(O)C1,-6.4,224.02514553070068
20,C1CN(c2cc3c(cc2F)CS(=O)(=O)N3c2c(C)cccc2)CC1,-5.9,225.94907689094543
21,C1CCCCC1Cn1ccc2c(c(Cl)cccc2c1=O)=O,-6.2,164.7592282295227
22,c1cc(C)c2n[nH]c(=O)cc2c1N(CCCC)S(=O)(C)=O,-4.9,197.78759384155273
23,c1(Oc2cc(F)ccc2C(F)(F)F)sc1CC1CC(=O)O1,-6.6,205.74606823921204
24,C1(F)S(=O)(=O)Oc2c3ccccc3c(cc2)ccc1=O,-6.0,209.90709447860718
25,c1(F)c(-c2c(Cl)cccc2)c2cccc(C(N)=O)c12,-6.2,207.0974371433258
26,c1(F)ccc1C1(C(O)=O)C(=O)Nc2nonc21,-5.1,176.43819403648376
27,c1cc(Oc2cccc3c2CN(C)SC3)sc1CC(=O)O,-5.4,215.6754252910614
28,C1CN(CCn2c(C3CCCCC3)c3c(c2)NC(=O)CC3=O)C[C@H]1,-6.5,226.6620535850525
29,s1c(S(=O)(=O)C2CCCCC2)cc2occ3c2n1CC3,-6.3,164.3445634841919
30,c1c(C)cc(Cn2c(C#CCO)c(-c3ccc[nH]c3=O)c3ccccc32)cc1,-5.9,322.80404233932495
31,c1(C)cc(-c2sc3c(c2C(CO)=O)ccc(C(=O)O)c3)c1C(C(=O)O)O,-6.5,461.96915197372437
32,c1ccc(C(N)CN(Cc2ccccc2)C2=COCC2)cc1Br,-4.7,235.92744827270508
33,C(C)(CN(C(C)(C)O)C(C(Cc1ccccc1)=O)=O)NC(Cc1ccccc1)NCCO,-6.1,562.6422653198242
34,CS(=O)(=O)NC(Cc1ccccc1)c1cc(Oc2ccccc2)s(F)cc1,-6.1,289.70913672447205
35,O=C1N(Cc2ccccn2)S(=O)(=O)c2cc(F)ccc21,-5.9,171.0193521976471
36,C1C(c2sc3c(c2CCCO)cc(CC2CCC2)c(C(=O)NC(C)=O)c3)s1,-5.7,319.818478345871
37,c1cc2c(cc1Cc1c(C(=O)O)c(C(O)=O)ncc1)ccc(Cl)c2Cl,-6.5,330.93233942985535
38,c1ccn(Cc2c(C(O)=O)nccc2)c1NC(=O)c1ccc(C)c(F)c1,-6.1,291.67532753944397
39,c1c(-c2c(F)cccc2)cccc1CN1C(C(=O)O)C[C@@H]1,-6.6,235.50423574447632
40,N(S(=O)(=O)c1cc(O)c(F)cc1)S(c1ccccc1)=O,-5.7,221.95942378044128
41,C(OC(F)(F)F)(OCCC)Cn1c(=O)[C@]c2ccc(C3CC3)cc21,-5.3,252.22258353233337
42,C1(C)CCCC1CNc1scc(-c2sccc2)c1C(O)C(N)=O,-6.2,260.2248601913452
43,c1cc(C(Nc2cc(NC)ncc2)=O)ccc1Br,-6.0,181.15726113319397
44,CC(C)(C)c1cc2c(ccc3c2CS3)[C@H]1,-5.2,109.12974190711975
45,Fc1cccc2c(-c3ccc(F)cc3)ccc(C(O)=O)c12,-6.1,177.9810814857483
46,N1C(CC(NS(c2ccc(C)cc2C)=O)=O)cN(CCC(C)C)CC1,-6.0,269.88827681541443
47,c1c2c(c(C(=O)NC(C(O)C(NC)=O)Cc3ccccc3)c1)c(Cl)cn2,-5.7,300.36857080459595
48,c1cc(-c2c(C(O)=O)n[nH]c2C(O)=O)sc1NC(=O)c1ccc(F)cccc1,-6.9,441.6783227920532
49,c1(F)(F)cc(c2cc(F)c3c(-c4ccc[nH]4)scc3c2C(=O)O)n1Cl,-6.5,249.79793095588684
50,C1CCCC(c2c3cc(N)c(=O)n(C)c3n(CC3CC3)c2-c2ccc(F)cc2)c1,-6.1,404.57609581947327
