smiles,Transfer_Learning,Index,UMAP_1,UMAP_2,PCA_1,PCA_2,TNSE_1,TNSE_2
CCCCNCCN1CN(c2ccccc2)C2(CCN(C3CCCc4ccc(Cl)cc43)CC2)C1=O,Pre-Training_Dataset,216545,11.421497,12.211844,1.9122721782419398,0.26686872712505216,30.554115,-5.026067
CC(CNc1ccc(OC(F)(F)F)cc1)NC(=O)C(CCC1CCCCC1)CC(=O)N1CCOCC1,Pre-Training_Dataset,459680,12.683371,13.761372,1.2329512811674785,1.7007971127744979,7.4863396,17.84905
Cc1cc(C)c(N)c(Cl)c1,Pre-Training_Dataset,922067,13.7125225,10.729827,-0.05075966195507163,-1.511556427682317,10.061837,-3.3087254
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)NCC2CC2)cc1,Pre-Training_Dataset,718630,12.82502,11.701821,0.4204611965733956,0.7147556686991238,-4.579124,11.36599
O=c1sc2cc(N(S(=O)(=O)c3ccccc3)S(=O)(=O)c3ccccc3)ccc2n1CCN1CCCC1,Pre-Training_Dataset,74999,13.343388,13.527198,1.3379108096579062,-0.241400047119009,10.74351,21.792076
CCONC(=S)Nc1cc(Cl)cc(Cl)c1,Pre-Training_Dataset,1284621,14.136669,11.551274,-0.7253296873004519,-0.20475736392201052,8.072062,-9.249387
Cc1ccccc1-n1nnnc1SCC(=O)Nc1ccc(N2CCN(C)CC2)cc1,Pre-Training_Dataset,138222,13.190991,13.237368,0.6125186220909435,1.534934328318186,-17.36986,23.034441
CCOC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)c(-c2ccc(OC)c(O)c2)s1,Pre-Training_Dataset,620094,13.404376,9.376548,-1.6189295656683487,-0.5866128306713001,17.321077,-1.594333
Cn1cc(C(=O)NCc2ccc(Cl)cc2)c(=O)c2sc(CN3CCOCC3)cc21,Pre-Training_Dataset,983124,12.716478,13.655745,0.983600950915225,1.2923542804225188,4.7769527,17.093727
COc1ccc(C(=O)Nc2nc(C)c(C(=O)NNC(=S)Nc3ccccc3)s2)cc1,Pre-Training_Dataset,1245475,13.981832,11.188128,-2.196551437272825,0.7540856863027934,-14.512182,-2.7537944
CNC(=O)Nc1cccc(NC(=O)NC)n1,Pre-Training_Dataset,1278918,14.341912,11.401625,-0.7034442146692557,-0.01205223451625342,-3.5306916,-7.870297
COc1ccc(C2CC(=O)C(=CC=C(C)C=CC=C(C)C=CC3=C(C)CCCC3(C)C)C(=O)C2)cc1,Pre-Training_Dataset,1206578,11.625314,11.711714,0.2150958380873756,-0.7703225514755347,-22.641762,6.797561
CC1(C)CCC(C)(C)c2nc(-c3c[nH]c(-c4ccc(C(=O)O)cc4)n3)cnc21,Pre-Training_Dataset,784124,10.931439,13.321467,0.06552746700292714,-0.4691331583827156,32.13808,-13.435748
CN(C)CCN1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,Pre-Training_Dataset,1399528,12.519378,12.516047,0.07654813193156966,1.5884777611212937,-20.215504,-6.99717
O=[N+]([O-])c1ccc(N2CC3CC2CN3)cc1,Pre-Training_Dataset,123131,14.753484,13.42009,1.0809394577829345,-1.0222514755485264,15.511467,16.76838
C=CCNc1nc(Cl)nc(Nc2ccc(OC)cc2OC)n1,Pre-Training_Dataset,945495,14.573865,11.379496,-1.2407851608061433,-1.072411673185373,-21.276419,9.950881
N#CC(c1cccc(Cl)c1)c1ccc2c(C(F)(F)F)cc(C(F)(F)F)nc2n1,Pre-Training_Dataset,758722,12.5732,10.407678,-0.14608090686503142,-1.5233483247483701,10.519068,-13.584841
COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2OC(C)=O)c1,Pre-Training_Dataset,159105,10.561475,10.345318,-1.04729346507159,-0.29559005473179545,17.936993,8.332981
CCNc1ccc(C(=O)N2CCCCc3ccccc32)c(Cl)c1,Pre-Training_Dataset,1498844,10.552412,12.028095,0.5851778460781509,1.20612761481209,-4.2441864,7.4891276
N=C(N)NCCCC1NC(CNC(=O)C=Cc2c(F)cccc2F)CCN(CC(c2ccccc2)c2ccccc2)C1=O,Pre-Training_Dataset,973119,11.091335,11.868247,1.016917956592234,0.9065999393021145,-3.6511617,3.4677927
CN1CCN(CC(=O)Nc2ccc(Sc3c(O)nc4ccc(C(F)(F)F)cc4c3-c3cc(Cl)ccc3O)cc2)CC1,Pre-Training_Dataset,328473,13.124374,12.910285,0.33466694964834304,1.3662375002420724,-9.147621,12.525516
Cc1ccc(OC2CC3CN(Cc4nccn4C)CCN3C2)cc1,Pre-Training_Dataset,1073271,12.364565,13.656507,1.3084814827927342,-0.6903958222445559,7.6623764,13.864034
Cc1cc(O)c(-c2ccc(CCN)c(Cl)c2)c2c1[nH]c(=O)c1sccc12,Pre-Training_Dataset,288998,13.136035,9.310814,-0.266677419133263,-1.099377086726358,8.65797,-2.981782
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(C#N)NC1,Pre-Training_Dataset,1483414,10.823566,11.542962,0.3962620367859779,0.8783135641040352,-29.96187,8.93914
CNC1CCN(c2nc(NCc3ccc(F)cc3)c3ccccc3n2)CC1,Pre-Training_Dataset,1124822,11.121721,12.320042,1.0582818631041684,-0.273559140180637,-0.6277975,-7.0991554
O=C(c1cc(C2CC2)[nH]n1)N1CCN(Cc2ccccc2)CC1,Pre-Training_Dataset,438992,11.124366,13.102868,1.406061181641702,0.6283753221577452,-1.3731567,20.401342
Cc1c(OCCCCOc2ccc(CCC(=O)O)c(O)c2)ccc(C(=O)CC(C)C)c1O,Pre-Training_Dataset,542339,11.786676,10.088823,-1.3653968490084465,-0.21863461581780205,11.848331,3.8082538
O=C(NCCCn1cccn1)c1cc(COc2ccc(F)cc2Cl)on1,Pre-Training_Dataset,22530,13.154601,11.210793,-0.4450879992096734,0.7400572054198693,-27.474478,-2.4873617
